N,threads,work_time_s,status
20000,1,1.12223,OK
20000,2,0.560421,OK
20000,4,0.268278,OK
20000,7,0.159689,OK
20000,8,0.146398,OK
20000,16,0.0794399,OK
20000,20,0.0695573,OK
20000,40,0.0479956,OK
40000,1,4.28241,OK
40000,2,2.16991,OK
40000,4,1.14412,OK
40000,7,0.659049,OK
40000,8,0.573231,OK
40000,16,0.293924,OK
40000,20,0.242997,OK
40000,40,0.181425,OK
