nsteps,threads,work_time_s,status
40000000,1,0.695481,OK
40000000,2,0.361708,OK
40000000,4,0.19133,OK
40000000,7,0.11458,OK
40000000,8,0.103033,OK
40000000,16,0.055984,OK
40000000,20,0.0486947,OK
40000000,40,0.0312152,OK

